assessment_id,entity_id,vuln_id,lir_id,quant_stride
17,17,2,14,"{""Information Disclosure"":""Grover’s algorithm reduces the effective key length, making brute-force attacks feasible.""}"
18,18,2,14,"{""Information Disclosure"":""Grover’s algorithm reduces the effective key length, making brute-force attacks feasible.""}"
19,19,2,10,"{""Information Disclosure"":""Grover’s algorithm reduces the effective key length, making brute-force attacks feasible.""}"
20,20,3,14,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
21,21,3,10,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
22,22,3,10,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
23,23,3,14,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
24,24,3,10,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
25,25,3,10,"{""Spoofing"":""Fake hash values can be created."",""Tampering"":""Data integrity can be compromised by finding collisions.""}"
26,26,4,14,"{""Information Disclosure"":""Through message and key recovery [Ravi et al. (2019), Oder et al. (2016), Ravi et al. (2020)].""}"
27,26,5,14,"{""Information Disclosure"":""Via key recovery [Hamburg et al. (2021)].""}"
28,26,6,24,"{""Information Disclosure"":""Through the recovery of the transmitted symmetric key [Pessl and Primas (2019)].""}"
29,26,7,4,"{""Information Disclosure"":""Via full key extraction [Xu et al. (2021), Ravi et al. (2020)] or or secret message bit disclosure [Ravi et al. (2020)]""}"
30,26,8,14,"{""Information Disclosure"":""Via message recovery [Ravi et al. (2021).]""}"
31,26,9,4,"{""Information Disclosure"":""Through secret key recovery [Albrecht et al. (2018)].""}"
32,27,4,14,"{""Information Disclosure"":""Through message and key recovery [Ravi et al. (2019), Oder et al. (2016), Ravi et al. (2020)].""}"
33,27,5,14,"{""Information Disclosure"":""Via key recovery [Hamburg et al. (2021)].""}"
34,27,6,24,"{""Information Disclosure"":""Through the recovery of the transmitted symmetric key [Pessl and Primas (2019)].""}"
35,27,7,4,"{""Information Disclosure"":""Via full key extraction [Xu et al. (2021), Ravi et al. (2020)] or or secret message bit disclosure [Ravi et al. (2020)]""}"
36,27,8,14,"{""Information Disclosure"":""Via message recovery [Ravi et al. (2021).]""}"
37,27,9,4,"{""Information Disclosure"":""Through secret key recovery [Albrecht et al. (2018)].""}"
38,28,4,14,"{""Information Disclosure"":""Through message and key recovery [Ravi et al. (2019), Oder et al. (2016), Ravi et al. (2020)].""}"
39,28,5,14,"{""Information Disclosure"":""Via key recovery [Hamburg et al. (2021)].""}"
40,28,6,24,"{""Information Disclosure"":""Through the recovery of the transmitted symmetric key [Pessl and Primas (2019)].""}"
41,28,7,4,"{""Information Disclosure"":""Via full key extraction [Xu et al. (2021), Ravi et al. (2020)] or or secret message bit disclosure [Ravi et al. (2020)]""}"
42,28,8,14,"{""Information Disclosure"":""Via message recovery [Ravi et al. (2021).]""}"
43,28,9,4,"{""Information Disclosure"":""Through secret key recovery [Albrecht et al. (2018)].""}"
44,29,4,14,"{""Spoofing and Tampering"":""Via key recovery [Ravi et al. (2019), Bruinderink and Pessl (2018)]"",""Tampering, Repudiation, and Privilege Elevation"":""through signature forgery [Bruinderink and Pessl (2018)]”}"
45,29,6,14,"{""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""Via forged signatures [Marzougui et al. (2022)]"",""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""by disclosing secret variables [Migliore et al. (2019)]""}"
46,29,7,4,"{""Spoofing and Tampering"":""Via disclosing some info. about secret key [Singh et al. (2022)]"",""Tampering, Repudiation, and Privilege Elevation"":""Through forged signatures on messages [Ravi et al. (2019)]""}"
47,29,8,14,"{""Spoofing and Tampering"":""via revealing information on the signer’s secret key [Berzati et al. (2023)]"",""Repudiation and Privilege Elevation"":""through signature forgery using the revealed signer’s secret key [Berzati et al. (2023)]""}"
48,30,4,14,"{""Spoofing and Tampering"":""Via key recovery [Ravi et al. (2019), Bruinderink and Pessl (2018)]"",""Tampering, Repudiation, and Privilege Elevation"":""through signature forgery [Bruinderink and Pessl (2018)]”}"
49,30,6,14,"{""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""Via forged signatures [Marzougui et al. (2022)]"",""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""by disclosing secret variables [Migliore et al. (2019)]""}"
50,30,7,4,"{""Spoofing and Tampering"":""Via disclosing some info. about secret key [Singh et al. (2022)]"",""Tampering, Repudiation, and Privilege Elevation"":""Through forged signatures on messages [Ravi et al. (2019)]""}"
51,30,8,14,"{""Spoofing and Tampering"":""via revealing information on the signer’s secret key [Berzati et al. (2023)]"",""Repudiation and Privilege Elevation"":""through signature forgery using the revealed signer’s secret key [Berzati et al. (2023)]""}"
52,31,4,14,"{""Spoofing and Tampering"":""Via key recovery [Ravi et al. (2019), Bruinderink and Pessl (2018)]"",""Tampering, Repudiation, and Privilege Elevation"":""through signature forgery [Bruinderink and Pessl (2018)]”}"
53,31,6,14,"{""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""Via forged signatures [Marzougui et al. (2022)]"",""Spoofing, Tampering, Repudiation, and Privilege Elevation"":""by disclosing secret variables [Migliore et al. (2019)]""}"
54,31,7,4,"{""Spoofing and Tampering"":""Via disclosing some info. about secret key [Singh et al. (2022)]"",""Tampering, Repudiation, and Privilege Elevation"":""Through forged signatures on messages [Ravi et al. (2019)]""}"
55,31,8,14,"{""Spoofing and Tampering"":""via revealing information on the signer’s secret key [Berzati et al. (2023)]"",""Repudiation and Privilege Elevation"":""through signature forgery using the revealed signer’s secret key [Berzati et al. (2023)]""}"
56,32,4,14,"{""Spoofing and Tampering"": ""by retrieving the private-key [McCarthy et al. (2019)]"", ""Repudiation and Privilege Elevation"": ""via signature forgery through retrieved private key [McCarthy et al. (2019)]""}"
57,32,10,14,"{""Spoofing and Tampering"": ""via private key retrieval [McCarthy et al. (2019)]"", ""Repudiation and Privilege Elevation"": ""through signature forgery using the retrieved private key [McCarthy et al. (2019)]""}"
58,32,5,14,"{""Spoofing, Tampering, Repudiation, and Privilege Elevation"": ""via secret key recovery [Guerreau et al. (2022)]""}"
59,32,7,4,"{""Spoofing and Tampering"": ""through secret key extraction [Karabulut and Aysu (2021)]"", ""Tampering, Repudiation, and Privilege Elevation"": ""via forged signatures on arbitrary messages [Karabulut and Aysu (2021)]""}"
60,33,11,14,"{""Information Disclosure"": ""through decoding the ciphertext [Bernstein et al., 2008]""}"
61,33,4,14,"{""Information Disclosure"": ""through real-time message recovery (Cayrel et al., 2020) or by computing an alternative valid secret key (Kreuzer and Danner, 2020)""}"
62,33,10,14,"{""Information Disclosure"": ""via partial or complete revelation of a secret (Strenzke et al., 2008)""}"
63,33,5,14,"{""Information Disclosure"": ""through complete secret permutation matrix recovery (Petrvalsky et al., 2015) or full secret key recovery (Guo et al., 2022)""}"
64,33,6,14,"{""Information Disclosure"": ""through private key exposure via permutation matrix (Petrvalsky et al., 2016) or through secret key recovery from a limited number of decryptions (Chen et al., 2015)""}"
65,33,7,14,"{""Information Disclosure"": ""via successful plaintext recovery (Lahr et al., 2020)""}"
66,33,8,4,"{""Information Disclosure"": ""through revealing the permutation that is part of the secret key (Strenzke et al., 2008)""}"
67,33,9,14,"{""Information Disclosure"": ""through private key recovery (Polanco, 2019).""}"
68,34,4,14,"{""Information Disclosure"": ""through real-time message recovery (Cayrel et al., 2020; Xagawa et al., 2021))""}"
69,34,10,14,"{""Information Disclosure"": ""via secret key recovery (Guo et al., 2020, 2022).""}"
70,35,4,14,"{""Information Disclosure"": ""through real-time message recovery (Cayrel et al., 2020; Xagawa et al., 2021)""}"
71,35,10,14,"{""Information Disclosure"": ""via secret key recovery (Guo et al., 2020, 2022; Wafo-Tapa et al., 2020)""}"
72,35,5,24,"{""Information Disclosure"": ""through the retrieval of a significant portion of the secret key (Schamberger et al., 2020)""}"
73,35,7,4,"{""Information Disclosure"": ""via secret key recovery (Goy et al., 2022))""}"
74,36,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
75,36,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
76,37,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
77,37,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
78,38,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
79,38,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
80,39,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
81,39,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
82,40,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
83,40,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
84,41,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
85,41,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
86,42,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
87,42,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
88,43,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
89,43,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
90,44,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
91,44,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
92,45,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
93,45,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
94,46,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
95,46,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
96,47,4,14,"{""Spoofing and Tampering"": ""via exploiting vulnerabilities like key recovery or universal signature forgery (Castelnovi et al., 2018)"", ""Tampering and Repudiation"": ""through message signatures forgery using techniques such as voltage glitch injection and collecting faulty signatures (Gen\u00eat et al., 2018)""}"
97,47,6,14,"{""Spoofing and Tampering"": ""through secret key recovery (Kannwischer et al., 2018)"", ""Tampering, Repudiation, and Privilege Elevation"": ""by creating signatures for arbitrary messages (Kannwischer et al., 2018)""}"
98,48,11,24,"{""Information Disclosure"": ""through secret key recovery (Castryck and Decru, 2022)""}"
99,48,4,14,"{""Information Disclosure"": ""via secret key recovery (Xagawa et al., 2021; Tasso et al., 2021)""}"
100,48,6,14,"{""Information Disclosure"": ""through full key recovery (De Feo et al., 2022)""}"
101,48,7,4,"{""Information Disclosure"": ""by full key recovery (De Feo et al., 2022)""}"
102,48,9,14,"{""Information Disclosure"": ""through secret key recovery (VillanuevaPolanco and Angulo-Madrid, 2020).""}"
,48,12,18,"{""Spoofing"": ""Quantum attacker can forge Issuer’s signature to impersonate a trusted entity due to broken signature algorithms including RSA, ECDSA."", ""Tampering"": ""Quantum attacker can alter certificate content due to broken SHA2 hash function."", ""Repudiation"": ""Attacker can forge a certificate and use it to deny issuing it (difficult but possible)."", ""Information Disclosure"": ""Quantum attacker can potentially recover private keys from public keys using Shor’s Algorithm.""}"
,49,12,18,"{""Spoofing"": ""Quantum attacker can forge Issuer’s signature to impersonate a trusted entity due to broken signature algorithms including RSA, ECDSA."", ""Tampering"": ""Quantum attacker can alter certificate content due to broken SHA2 hash function."", ""Repudiation"": ""Attacker can forge a certificate and use it to deny issuing it (difficult but possible)."", ""Information Disclosure"": ""Quantum attacker can potentially recover private keys from public keys using Shor’s Algorithm.""}"
,50,12,18,"{""Spoofing"": ""Quantum attacker can forge Issuer’s signature to impersonate a trusted entity due to broken signature algorithms including RSA, ECDSA."", ""Tampering"": ""Quantum attacker can alter certificate content due to broken SHA2 hash function."", ""Repudiation"": ""Attacker can forge a certificate and use it to deny issuing it (difficult but possible)."", ""Information Disclosure"": ""Quantum attacker can potentially recover private keys from public keys using Shor’s Algorithm.""}"
,51,12,18,"{""Spoofing"": ""Vulnerabilities in cryptographic algorithms used for key exchange and user authentication, susceptible to Shor’s algorithm, can be exploited."", ""Tampering"": ""Cryptographic primitives like HMACSHA1/SHA2, ensuring integrity protection, can be broken, allowing unauthorized data modification."", ""Information Disclosure"": ""Weaknesses in encryption algorithms like AES in SSH can lead to the disclosure of sensitive information transmitted over SSH connections.""}"
,52,12,18,"{""Spoofing"": ""Compromising key exchange mechanisms allows impersonation of legitimate servers or clients."", ""Tampering"": ""Breaking the integrity protection mechanisms like HMAC-SHA2, allowing them to modify data in transit."", ""Information Disclosure"": ""Exploiting encryption algorithm weaknesses leads to sensitive information disclosure in TLS connections.""}"
,53,12,18,"{""Spoofing"": ""Compromising key exchange mechanisms allows impersonation of legitimate servers or clients."", ""Tampering"": ""Breaking the integrity protection mechanisms like HMAC-SHA2, allowing them to modify data in transit."", ""Information Disclosure"": ""Exploiting encryption algorithm weaknesses leads to sensitive information disclosure in TLS connections.""}"
,54,12,18,"{""Spoofing"": ""Vulnerabilities in cryptographic algorithms used for key exchange and user authentication, susceptible to Shor’s algorithm, can be exploited."", ""Tampering"": ""Cryptographic primitives like HMACSHA1/SHA2, ensuring integrity protection, can be broken, allowing unauthorized data modification."", ""Information Disclosure"": ""Weaknesses in encryption algorithms like AES in SSH can lead to the disclosure of sensitive information transmitted over SSH connections.""}"
,55,12,18,"{""Spoofing"": ""Compromising key exchange mechanisms allows impersonation of legitimate servers or clients."", ""Tampering"": ""Breaking the integrity protection mechanisms like HMAC-SHA2, allowing them to modify data in transit."", ""Information Disclosure"": ""Exploiting encryption algorithm weaknesses leads to sensitive information disclosure in TLS connections.""}"
,56,12,18,"{""Spoofing"": ""Shor’s algorithm can break RSA and DSA used in SAML, allowing to forge assertions and impersonate legitimate users, leading to unauthorized access."", ""Elevation of Privilege"": ""Once a quantum attacker spoofs a SAML assertion and gains system access, they can exploit system vulnerabilities to escalate their privileges.""}"
,57,13,14,"{""Elevation of Privilege"": ""Vulnerabilities in the cryptographic mechanisms used for token protection, such as HMACSHA1, can lead to unauthorized access to resources.""}"
,58,12,18,"{""Spoofing"": ""Vulnerabilities in IKE’s DH cryptography, prone to Shor’s algorithm, allow impersonation, enabling potential traffic interception or manipulation during negotiations."", ""Tampering"": ""Weakened hashing functions (HMACSHA1/SHA2) in IKE, susceptible to Grover’s algorithm, allow undetected modification of data packets during exchanges."", ""Information Disclosure"": ""Symmetric key algorithms in IKE are susceptible to Grover’s algorithm, enabling quantum attackers to decrypt sensitive information transmitted over IKE-secured connections, threatening confidentiality.""}"
,59,12,18,"{""Spoofing"": ""Quantum algorithms such as Shor’s can compromise public-key cryptography (DH, ECDH, RSA) used in IKE, enabling attackers to impersonate legitimate devices through forged messages."", ""Tampering"": ""IPSec’s AH protocol, utilizing hashing functions is vulnerable to Grover’s Algorithm, enabling undetected data packet modification during transit, risking sensitive info. corruption."", ""Information Disclosure"": ""Quantum attackers can use Grover’s algorithm to exploit weaknesses in IPSec’s symmetric encryption and pre-shared keys (PSKs). This could lead to the decryption of sensitive data traveling within IPSec tunnels if the key lengths are not sufficiently long.""}"
,60,14,14,"{""Spoofing"": ""Quantum attackers can exploit vulnerabilities in Kerberos’ symmetric cryptography, like HMACSHA1/SHA2/SHA3, using Grover’s algorithm. This could accelerate brute-force attacks on short symmetric keys, allowing attackers to forge Kerberos tickets and impersonate legitimate users, potentially granting unauthorized access to protected resources.""}"
,61,15,14,"{""Spoofing"": ""SASL in LDAP uses symmetric cryptography (e.g., CRAM-MD5) susceptible to Grover’s algorithm, enabling brute-force attacks to forge credentials."", ""Tampering"": ""LDAP’s use of TLS with RSA/ECDH, which are vulnerable to Shor’s algorithm, could allow attackers to alter data packets undetected."", ""Information Disclosure"": ""Symmetric cryptography in TLS (e.g., AES, ChaCha20-Poly1305) is weakened by Grover’s algorithm, making it easier for quantum attackers to decrypt communications."", ""Elevation of Privilege"": ""Successful spoofing or tampering can enable attackers to escalate privileges within LDAP, gaining unauthorized access.""}"
,62,12,18,"{""Spoofing"": ""Quantum computers can leverage Shor’s algorithm to forge digital signatures in PGP. This allows impersonation of legitimate users, potentially leading to scams or unauthorized actions."", ""Tampering"": ""Quantum attackers leverage Shor’s algorithm to forge digital signatures, enabling message tampering. Moreover, Grover’s Algorithm facilitates brute-forcing symmetric encryption, enabling undetected modification of encrypted data packets during transmission."", ""Repudiation"": ""Quantum attackers can exploit Shor’s algorithm to forge digital signatures, allowing them to frame others for sending messages or deny sending messages themselves."", ""Information Disclosure"": ""Quantum attackers leverage Grover’s Algorithm to compromise PGP’s symmetric cryptography, potentially decrypting confidential communication and compromising sensitive information.""}"
,63,12,18,"{""Spoofing, Tampering, and Repudiation"": ""Shor’s algorithm exploits vulnerabilities in S/MIME’s public-key cryptography used for digital signatures, allowing attackers to forge certificates and impersonate users. This enables man-in-the-middle attacks to tamper with encrypted messages, leading to both tampering and repudiation."", ""Tampering, Repudiation, and Information Disclosure"": ""Grover’s algorithm weakens symmetric keys in S/MIME, enabling attackers to tamper with encrypted messages during transmission, compromising data integrity and non-repudiation. This poses a risk of tampering, repudiation, and information disclosure.""}"
,64,12,18,"{""Spoofing"": ""Public-key cryptography used for authentication during the handshake process (SAE or Dragonfly) is vulnerable to Shor’s Algorithm, allowing impersonation of legitimate devices, compromising network security."", ""Tampering"": ""Message integrity checks (HMAC-SHA-3) in WiFi/WPA susceptible to Grover’s algorithm, enabling data packet manipulation during transmission."", ""Information Disclosure"": ""WiFi/WPA uses AES and GCMP for data confidentiality, susceptible to Grover’s Algorithm. This poses a risk of confidential data exposure during transmission, compromising privacy.""}"
,65,14,18,"{""Spoofing"": ""DECT’s DSAA2, based on AES, is vulnerable to Grover’s Algorithm, enabling quantum attackers to forge authentication messages, gain unauthorized access, and potentially lead to security breaches."", ""Information Disclosure"": ""DECT’s DSC2 encryption, using AES, is weakened by Grover’s Algorithm, allowing quantum attackers to decrypt intercepted communications, compromising confidentiality and leading to privacy violations."", ""Elevation of Privilege"": ""Spoofing a handset allows attackers to grant unauthorized control over DECT network resources, potentially exploiting additional vulnerabilities for further privilege escalation within the system.""}"
,66,12,18,"{""Spoofing"": ""Shor’s algorithm poses a threat by potentially breaking cryptographic signatures used for DNS record authenticity verification (e.g., RSA, DSA, and ECDSA), enabling the creation of forged DNS records. Additionally, Grover’s algorithm weakens symmetric cryptography, increasing the risk of tampering with DNS records. This could facilitate spoofing attacks, compromising DNS integrity."", ""Tampering"": ""Grover’s algorithm may weaken symmetric cryptography in DNSSEC, compromising hashing algorithms like SHA1, SHA2, and SHA3. This vulnerability could allow for tampering with DNS records, redirecting users to malicious sites, or intercepting communication.""}"
